,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random
SLC3A2,1.13641146969153,1.04183846976087,1.23956934393378,0.00392017482408815,1.13415584960299,1.02183118859132,1.25882778442296,0.0179900477858554
EIF2AK4,1.08178470522064,0.99331818360539,1.1781301981221,0.0709264177507583,1.08260257086416,0.970410010656131,1.20776611285082,0.155065963920371
PC,1.00742079663999,0.921353610455892,1.10152784987794,0.871099336769293,1.00910560843944,0.901697069167263,1.12930846046151,0.874565926388485
ANKH,0.997463929179958,0.913195322335452,1.08950874547914,0.955034820343868,0.997808563906422,0.911836100662248,1.09188694051694,0.961937442153151
GLUL,0.930859192512361,0.850485393199406,1.01882859272294,0.119924124542741,0.94052975755336,0.834948066673613,1.05946257036987,0.312878510291983
ODF2,1.01691976801987,0.932529563104602,1.10894694978543,0.704251274691937,0.997565017277687,0.864302006824956,1.15137527836121,0.973417322452751
FAM32A,0.956219782172028,0.876882410870988,1.04273533199156,0.311050224901735,0.960487293682235,0.8571568547009,1.07627423879955,0.487549648470317
TRIM68,0.932492780726103,0.855238025003932,1.01672605834183,0.113186793900427,0.928107359691913,0.835839520173601,1.03056059246324,0.16256364119524
ECHDC1,0.974662893158122,0.894463125576997,1.0620535694935,0.558023199320548,0.98448291255101,0.877303401398825,1.10475646573301,0.790297807390987
CUBN,0.933374951114846,0.849598360120667,1.02541252462506,0.150730197595587,0.933756183212861,0.791377689639006,1.10175030343094,0.416796906616847
