,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,RankA,RankB,Time
ACSL1,0.967816861,0.885741149,1.057497979,0.469373313,0.967979861,0.853122981,1.098300049,0.613560295,41,41,0
ACSL3,1.135095878,1.041375569,1.237250701,0.003950762,1.124176758,1.003005006,1.259987115,0.044269744,12,12,0
ACSL4,1.127164753,1.033083384,1.229813972,0.007104867,1.127164753,1.033083384,1.229813972,0.007104867,15,7,0
ACSL5,0.927478443,0.848292885,1.014055731,0.098245021,0.915061214,0.796895927,1.050748281,0.208299877,27,29,0
ACSL6,0.922680515,0.832590191,1.022519052,0.124749118,0.931843295,0.802105473,1.082565766,0.356095126,30,31,0
ALOX15,0.994882189,0.889441931,1.112822024,0.928473261,0.977811526,0.847210637,1.128545061,0.759031897,51,45,0
ATG5,1.143338787,1.048828177,1.246365811,0.002342786,1.132882887,0.994663043,1.290309965,0.060195688,9,14,0
ATG7,1.026375566,0.941289351,1.119153001,0.555442456,1.020144435,0.925067131,1.124993671,0.689482706,42,43,0
ATP6V1B2,0.92477844,0.847884642,1.008645658,0.077462376,0.913604325,0.799327906,1.044218345,0.185064494,25,28,0
CP,1.207115248,1.09305732,1.33307485,0.000201596,1.207115248,1.09305732,1.33307485,0.000201596,6,3,0
CYBB,0.922753949,0.842668428,1.010450636,0.08264781,0.922753949,0.842668428,1.010450636,0.08264781,26,20,0
FCHO2,0.884282434,0.810903738,0.96430117,0.005395357,0.889326947,0.77226256,1.024136686,0.103362181,13,21,0
FTH1,1.152402667,1.056269778,1.257284773,0.00141412,1.152244118,1.032782081,1.285524344,0.011162794,8,8,0
FTL,1.093712127,1.001343885,1.19460081,0.046613433,1.093599041,1.000520886,1.195336228,0.048673799,24,13,0
FTMT,1.040529518,0.892007662,1.213780692,0.613131798,1.040529518,0.892007662,1.213780692,0.613131798,44,40,0
GCLC,0.962515731,0.878633879,1.054405658,0.411523551,1.001660307,0.866743626,1.157578021,0.982069256,36,50,0
GCLM,1.117803694,1.021763808,1.222870772,0.01511142,1.130801832,0.994159506,1.286224973,0.061370408,19,17,0
GPX4,0.929100848,0.85043139,1.015047652,0.10329292,0.919598672,0.826438921,1.023259791,0.124038793,28,23,0
GSS,1.063879901,0.975142526,1.160692324,0.163467973,1.045944173,0.926529309,1.180749711,0.467692725,31,36,0
HIGD1B,1.014274563,0.927065251,1.109687681,0.757328381,1.000686436,0.878890849,1.139360301,0.99173161,49,51,0
HMOX1,0.977862469,0.890885933,1.073330459,0.637630466,0.97883977,0.881753003,1.086616423,0.688197968,45,42,0
IREB2,0.987174156,0.906022458,1.075594546,0.76803849,0.983761041,0.871749433,1.110165087,0.790655338,50,47,0
LPCAT3,0.965801414,0.885873588,1.052940718,0.429814424,0.965801414,0.885873588,1.052940718,0.429814424,38,34,0
MAP1LC3A,0.943243786,0.862093934,1.032032362,0.20301042,0.942445825,0.818831927,1.084720935,0.408621709,33,33,0
MAP1LC3B,1.044062842,0.958078257,1.13776428,0.325443698,1.019835837,0.897038597,1.159443014,0.764132274,34,46,0
MAP1LC3C,1.134477444,1.0309849,1.248358799,0.009732586,1.127636586,0.992010474,1.281805286,0.066169339,16,19,0
MMS19,1.101404708,1.011198372,1.199658114,0.02673314,1.100814205,1.009599979,1.200269352,0.029521007,21,11,0
