,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random
TAX1BP1,1.09737163800227,1.00707003960539,1.19577036803085,0.0339417358326622,1.09274270351722,0.995876060914685,1.19903134833203,0.0611088683427788
IREB2,0.987174156361911,0.90602245824925,1.07559454637797,0.768038490009425,0.983761040612802,0.871749433255136,1.11016508655916,0.790655337554782
FCHO2,0.884282434443643,0.810903738241786,0.964301170396653,0.00539535678973137,0.889326946804538,0.772262559695455,1.0241366856171,0.103362180545293
MMS19,1.10140470847754,1.01119837205362,1.19965811395923,0.0267331396813641,1.10081420456641,1.00959997898409,1.20026935241673,0.029521007189861
POLE3,1.02443859096336,0.939684548706139,1.11683695140037,0.58369302519043,1.02409515472344,0.934028659212939,1.12284658033061,0.612212340495101
TAX1BP1,1.09737163800227,1.00707003960539,1.19577036803085,0.0339417358326622,1.09274270351722,0.995876060914685,1.19903134833203,0.0611088683427788
MSANTD1,1.07462896689961,0.982997319195179,1.17480220337246,0.113458633848099,1.06310589883081,0.926845591212311,1.21939853072028,0.381884172198754
HIGD1B,1.01427456268294,0.927065251027239,1.10968768095423,0.757328380675452,1.00068643578923,0.878890849382838,1.13936030108371,0.991731610015962
TFRC,1.18919055401881,1.08882479841615,1.29880783007945,0.000117359960018461,1.22103851872708,1.06405966901812,1.40117618177468,0.00445057446568317
ATP6V1B2,0.924778439824086,0.847884642471686,1.00864565758664,0.0774623757902947,0.913604325317019,0.799327905775297,1.04421834544659,0.185064494388723
NCOA4,0.893413215978937,0.819308315842045,0.974220765311638,0.0107371656268374,0.889920978445048,0.761442329378377,1.04007791177452,0.142648319431284
