,X,idx,beta,pval,cilb,ciub,i2,tau2,symbol.x,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol.y
22,ENSG00000141504.10,44979,-0.700656301319885,8.10562234126397e-07,-0.979049740727039,-0.42226286191273,98.1644555898518,0.43834587892072,SAT2,0.91442859066566,0.863148502222074,0.968755255062297,0.00238162392726836,0.922587828874204,0.834125110071386,1.02043241680373,0.117190579978491,SAT2
24,ENSG00000151012.12,51656,1.82713055035644,6.49292126820999e-10,1.2474729143356,2.40678818637727,97.6324669598674,1.84313646427813,SLC7A11,1.08029469652931,1.05588411064706,1.1052696215252,3.51558500881135e-11,1.08915262330352,1.04331771692033,1.13700114319013,9.89710226695675e-05,SLC7A11
40,ENSG00000266412.4,50628,-0.523030048028083,3.55649267746412e-14,-0.658336860475264,-0.387723235580902,95.3808839234803,0.0971258207611347,NCOA4,0.851883559739136,0.791826373461033,0.916495867877953,1.72602211783441e-05,0.876307711711193,0.74959518906119,1.02443988009883,0.0975287661543327,NCOA4
