"","R","Pvalues"
"TCGA-UCEC",-0.0887057964467367,0.0373788433364995
"TCGA-BRCA",-0.0549507744783977,0.0682315250653214
"TCGA-LGG",-0.00611706905456497,0.890287132119856
"TCGA-CESC",-0.276953280306964,9.3315095418682e-07
"TCGA-STAD",-0.0891301800508346,0.0847677299117395
"TCGA-ESCA",-0.222125125211424,0.00462639613805235
"TCGA-THCA",-0.291069369129942,2.93548137472363e-11
"TCGA-OV",-0.0875611614760414,0.0908495938722501
"TCGA-ACC",-0.00914792721016675,0.936225949877171
"TCGA-GBM",-0.173279554960228,0.0305222259865966
"TCGA-HNSC",-0.199518086724176,6.94162832730996e-06
"TCGA-PRAD",-0.09542155032,0.033260232003949
"TCGA-LIHC",0.0169242709689828,0.74525091669232
"TCGA-BLCA",-0.284810665067441,3.63160872275751e-09
"TCGA-COAD",0.00215462167902255,0.962526244971271
"TCGA-LUSC",-0.199617364379367,6.58172365255734e-06
"TCGA-TGCT",-0.0842802206359311,0.305170531134522
"TCGA-KIRP",-0.432123172319156,1.5666367707821e-14
"TCGA-KIRC",-0.172147113694957,5.97903106811009e-05
"TCGA-PAAD",-0.294731468528934,6.82842508319658e-05
"TCGA-MESO",-0.253880862716473,0.0183376440246333
"TCGA-LUAD",-0.123397373711211,0.00432987526861368
"TCGA-THYM",-0.35658401495683,6.877624445241e-05
"TCGA-SARC",-0.216688524363457,0.000444371960136163
"TCGA-CHOL",-0.28534734123164,0.0916152229154582
"TCGA-UCS",-0.192176436178152,0.155914829700446
"TCGA-PCPG",-0.105646134786447,0.160469052701996
"TCGA-READ",0.0126211860743349,0.871786023655459
"TCGA-KICH",-0.452578449592102,0.000153613574398503
"TCGA-UVM",0.288558146244291,0.00943736220036254
"TCGA-SKCM",-0.0983957234766859,0.322750080843743
"TCGA-DLBC",-0.190096399575629,0.195614362435514
